                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1339,                 1.9203,                  1.052,                0.80774,                0.82244,                0.85405,                0.58765,                 1.1572,                 1.3153,                 1.0792,             0.00066499,             0.00066499,             0.00066499
                      2,                 1.1419,                0.87598,                 1.0539,                0.80054,                0.81844,                0.87927,                0.60296,                 1.1184,                 0.8928,                 1.0667,              0.0012789,              0.0012789,              0.0012789
                      3,                 1.1404,                0.85615,                 1.0615,                0.85653,                 0.8279,                0.89346,                0.61769,                  1.155,                0.91246,                 1.0885,              0.0018401,              0.0018401,              0.0018401
                      4,                 1.0978,                0.77084,                 1.0453,                0.88003,                0.89233,                 0.9296,                0.64498,                 1.0999,                0.75553,                 1.0507,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.0613,                0.71498,                 1.0269,                0.87675,                0.86949,                0.92089,                0.65238,                 1.0745,                0.70138,                 1.0354,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.0227,                0.70496,                 1.0079,                 0.9073,                0.89412,                0.94452,                0.67291,                 1.0408,                0.65069,                 1.0173,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.0045,                0.66096,                 1.0099,                0.88714,                0.92414,                 0.9488,                  0.676,                 1.0287,                0.65588,                 1.0082,               0.001604,               0.001604,               0.001604
                      8,                  0.991,                0.62767,                 1.0013,                0.90103,                0.92333,                0.95764,                0.70029,                 1.0059,                0.61535,                 1.0184,              0.0015248,              0.0015248,              0.0015248
                      9,                0.97291,                0.60289,                0.99052,                0.90952,                0.94209,                 0.9586,                 0.7093,                0.97308,                0.57831,                 1.0137,              0.0014456,              0.0014456,              0.0014456
                     10,                0.94623,                0.57946,                0.97676,                 0.9126,                0.94698,                 0.9648,                0.71562,                0.95841,                0.53865,                0.98975,              0.0013664,              0.0013664,              0.0013664
                     11,                0.94372,                0.57066,                0.98488,                0.90548,                0.94372,                0.96566,                0.71039,                0.96093,                0.54947,                 1.0016,              0.0012872,              0.0012872,              0.0012872
                     12,                0.93253,                0.55397,                0.97574,                0.91812,                0.93801,                0.96638,                0.72925,                0.92886,                 0.5343,                0.97589,               0.001208,               0.001208,               0.001208
                     13,                  0.919,                0.54885,                0.96614,                0.91131,                 0.9478,                0.96166,                0.72482,                0.93156,                0.54105,                0.98699,              0.0011288,              0.0011288,              0.0011288
                     14,                0.90764,                0.52916,                0.96479,                 0.9379,                0.94046,                0.97159,                0.73702,                 0.9481,                0.50639,                0.97513,              0.0010496,              0.0010496,              0.0010496
                     15,                0.90291,                0.51296,                0.96302,                0.92134,                0.94589,                0.97084,                0.72501,                  0.919,                0.50856,                0.98187,              0.0009704,              0.0009704,              0.0009704
                     16,                0.88358,                0.48926,                0.95787,                0.92266,                0.95364,                0.97023,                0.73001,                0.92998,                0.50724,                0.96964,              0.0008912,              0.0008912,              0.0008912
                     17,                0.89012,                0.48519,                0.96044,                0.92959,                0.95841,                 0.9751,                0.74875,                0.92929,                0.47807,                0.97885,               0.000812,               0.000812,               0.000812
                     18,                 0.8716,                0.46574,                0.95076,                0.90621,                0.96145,                0.96889,                0.74651,                0.90642,                0.48662,                0.96792,              0.0007328,              0.0007328,              0.0007328
                     19,                0.85919,                0.45058,                0.94389,                0.92455,                 0.9633,                0.97281,                0.74911,                0.89733,                0.47135,                0.96919,              0.0006536,              0.0006536,              0.0006536
                     20,                0.84807,                0.44154,                0.94181,                0.93256,                0.95269,                0.97546,                0.75099,                0.89283,                0.47407,                0.95849,              0.0005744,              0.0005744,              0.0005744
                     21,                0.83445,                0.42634,                0.93443,                0.93973,                0.95188,                0.97724,                0.76486,                0.88395,                0.45198,                0.95448,              0.0004952,              0.0004952,              0.0004952
                     22,                0.82312,                 0.4153,                  0.932,                0.93435,                0.95595,                0.97477,                0.76154,                0.88153,                0.45157,                0.96022,               0.000416,               0.000416,               0.000416
                     23,                0.81509,                0.40007,                0.93345,                0.94189,                0.95024,                0.97621,                 0.7654,                0.87311,                0.43734,                0.95632,              0.0003368,              0.0003368,              0.0003368
                     24,                0.80315,                0.39522,                0.92985,                0.93411,                 0.9597,                0.97565,                0.77043,                0.85926,                 0.4401,                0.94631,              0.0002576,              0.0002576,              0.0002576
                     25,                0.79394,                0.38215,                0.92143,                0.94435,                0.95922,                0.97761,                 0.7745,                0.85882,                0.42467,                0.94957,              0.0001784,              0.0001784,              0.0001784
